doi,标题,期刊,年份,作者
10.1103/PhysRevLett.127.125501,Fragile 3d Order In V1-Xmoxo2,PHYSICAL REVIEW LETTERS,2021,"Davenport Matthew A.,Krogstad Matthew J.,Whitt Logan M.,Hu Chaowei,Douglas Tyra C.,Ni Ni,Rosenkranz Stephan,Osborn Raymond,Allred Jared M."
10.1364/cleo_qels.2021.fw4k.7,A Study of Phonon Modes of Magnetic Two-dimensional Materials using Optical Spectroscopy,conference on lasers and electro optics,2021,"J. H. Kang,Yujin Cho,Liangbo Liang,Xiangru Kong,Subhajit Ghosh,Fariborz Kargar,Chaowei Hu,Alexander A. Balandin,David B. Geohegan,A. A. Puretzky,Ni Ni,Chee Wei Wong"
10.1038/s41586-021-03679-w,Layer Hall Effect In A 2d Topological Axion Antiferromagnet,NATURE,2021,"Anyuan Gao,Yu-Fei Liu,Chaowei Hu,Jian-Xiang Qiu,Christian Tzschaschel,Barun Ghosh,Sheng-Chin Ho,Damien Bérubé,Rui Chen,Haipeng Sun,Zhaowei Zhang,Xin-Yue Zhang,Yu-Xuan Wang,Naizhou Wang,Zumeng Huang,Claudia Felser,Amit Agarwal,Thomas Ding,Hung-Ju Tien,Austin Akey,Jules Gardener,Bahadur Singh,Kenji Watanabe,Takashi Taniguchi,Kenneth S. Burch,David C. Bell,Brian B. Zhou,Weibo Gao,Hai-Zhou Lu,Arun Bansil,Hsin Lin,Tay-Rong Chang,Liang Fu,Qiong Ma,Ni Ni,Su-Yang Xu"
10.1103/physrevlett.127.125501,Fragile 3D Order in V_{1-x}Mo_{x}O_{2}.,Physical Review Letters,2021,"Matthew A. Davenport,M. J. Krogstad,Logan M. Whitt,Chaowei Hu,Tyra C. Douglas,Ni Ni,Stephan Rosenkranz,Raymond Osborn,Jared M. Allred"
10.1088/2058-9565/abe279,Nb-Based Superconducting Silicon Interconnect Fabric For Cryogenic Electronics,QUANTUM SCIENCE AND TECHNOLOGY,2021,"Yu-Tao Yang,Chaowei Hu,Peng Zhang,Niloofar Shakoorzadeh,Ni Ni,Kang L. Wang,Subramanian S. Iyer"
,Switching on ferromagnetic coupling by Mn/Sb antisite disorder in Mn(Bi 1-x Sb x ) 4 Te 7,Bulletin of the American Physical Society,2021,"Chaowei Hu,Scott Mackey,Ni Ni"
10.1103/PhysRevB.104.054422,Tuning Magnetism And Band Topology Through Antisite Defects In Sb-Doped Mnbi4te7,PHYSICAL REVIEW B,2021,"Chaowei Hu,Scott Mackey,Ni Ni"
10.1103/PhysRevB.103.165137,Comprehensive Anisotropic Linear Optical Properties Of The Weyl Semimetals Taas And Nbas,PHYSICAL REVIEW B,2021,"Rui Zu,Mingqiang Gu,Lujin Min,Chaowei Hu,Ni Ni,Zhiqiang Mao,James M. Rondinelli,Venkatraman Gopalan"
,"Abstract Submitted for the MAR10 Meeting of The American Physical Society Evolution of the absolute value of the London penetration depth in single crystals of Ba(Fe1−xCox)2As2 upon cobalt doping RYANGORDON,",,2021,"NI  NI,MAKARIY  TANATAR,VLADIMIR  KOGAN,SERGEY  BUD’KO,PAUL  CANFIELD,RUSLAN  PROZOROV"
,Optical Evidence of Chiral Plasmon mode in Dirac and Weyl semimetals,Bulletin of the American Physical Society,2021,"Francois Joint,Gregory Jenkins,Chaowei Hu,Tiema Qian,Ni Ni,Howard Drew"
10.1088/1361-6463/abe0dd,Neutron Diffraction Study Of Magnetism In Van Der Waals Layered Mnbi2nte3n+1,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2021,"Lei Ding,Chaowei Hu,Erxi Feng,Chenyang Jiang,Iurii A. Kibalin,Arsen Gukasov,Miaofang Chi,Ni Ni,Huibo Cao"
