doi,标题,期刊,年份,作者
10.1002/adfm.201504178,Label-Free Microfluidic Manipulation of Particles and Cells in Magnetic Liquids.,ADVANCED FUNCTIONAL MATERIALS,2016,"Wujun Zhao,Rui Cheng,Joshua R Miller,Leidong Mao"
10.1115/SMASIS2015-9029,Magnetically Responsive Droplet Interface Bilayer Networks,Proceedings of the ASME Conference on Smart Materials Adaptive Structures and Intelligent Systems,2016,"khushboo brahmbhatt,wujun zhao,zhaojie deng,leidong mao,eric c freeman"
10.1039/c6sm01485b,Dynamic scaling of ferromagnetic micro-rod clusters under a weak magnetic field.,SOFT MATTER,2016,"Rui Cheng,Lu Zhu,Weijie Huang,Leidong Mao,Yiping Zhao"
10.1002/adfm.201503838,Label‐Free and Continuous‐Flow Ferrohydrodynamic Separation of HeLa Cells and Blood Cells in Biocompatible Ferrofluids,ADVANCED FUNCTIONAL MATERIALS,2016,"wujun zhao,taotao zhu,rui cheng,yufei liu,jian he,hong qiu,lianchun wang,tamas nagy,troy d querec,elizabeth r unger,leidong mao"
10.1039/c6tb01083k,"Glioma Cell Invasion is Significantly Enhanced in Composite Hydrogel Matrices Composed of Chondroitin 4- and 4,6-Sulfated Glycosaminoglycans.",JOURNAL OF MATERIALS CHEMISTRY B,2016,"Meghan T Logun,Nicole S Bisel,Emily A Tanasse,Wujun Zhao,Bhagya Gunasekera,Leidong Mao,Lohitash Karumbaiah"
10.1109/TMECH.2015.2412517,Magnetohydrodynamic-Driven Design of Microscopic Endocapsules in MRI,"Mechatronics, IEEE/ASME Transactions  ",2015,"Gregory T. Stan,Wu Kevin James,Yu Jasper,Box James Brent,Cheng Rui,Mao Leidong,Tang Guoyi,Tse Zion Tsz Ho"
10.1021/acs.langmuir.5b02097,Magnetic-Field-Assisted Fabrication And Manipulation Of Nonspherical Polymer Particles In Ferrofluid-Based Droplet Microfluidics,LANGMUIR,2015,"Taotao Zhu,Rui Cheng,Gareth R. Sheppard,Jason Locklin,Leidong Mao"
10.1007/s10404-013-1280-z,Three-dimensional and analytical modeling of microfluidic particle transport in magnetic fluids,Microfluidics and Nanofluidics,2014,"rui cheng,taotao zhu,leidong mao"
10.1007/s10404-014-1396-9,Combining positive and negative magnetophoreses to separate particles of different magnetic properties,Microfluidics and Nanofluidics,2014,"Taotao Zhu,Rui Cheng,Yufei Liu,Jian He,Leidong Mao"
10.1021/nn5029955,Acceleration of tissue plasminogen activator-mediated thrombolysis by magnetically powered nanomotors.,ACS nano,2014,"Rui Cheng,Weijie Huang,Lijie Huang,Bo Yang,Leidong Mao,Kunlin Jin,Qichuan ZhuGe,Yiping Zhao"
10.1109/NANO.2013.6720873,Ferrofluidic platform for cell and droplet manipulation,Nanotechnology,2013,"taotao zhu,rui cheng,gareth r sheppard,jason locklin,leidong mao"
10.1007/s10404-012-1004-9,Continuous-flow ferrohydrodynamic sorting of particles and cells in microfluidic devices,Microfluidics and nanofluidics,2012,"taotao zhu,rui cheng,sarah a lee,e rajaraman,mark a eiteman,troy d querec,elizabeth r unger,leidong mao"
10.7150/thno.3854,Magnetic nanoparticle-based hyperthermia for head & neck cancer in mouse models.,THERANOSTICS,2012,"Qun Zhao,Luning Wang,reynold cheng,Leidong Mao,Robert D Arnold,Elizabeth W Howerth,Zhuo G Chen,simon r platt"
10.1063/1.3596395,Thiolene-based microfluidic flow cells for surface plasmon resonance imaging.,BIOMICROFLUIDICS,2011,"Gareth Sheppard,Takao Oseki,Akira Baba,Derek Patton,Futao Kaneko,Leidong Mao,Jason Locklin"
10.1007/s10404-011-0835-0,Focusing microparticles in a microfluidic channel with ferrofluids,Microfluidics and Nanofluidics,2011,"Taotao ZhuRui,Rui Cheng,Leidong Mao"
10.1007/s10404-010-0754-5,Analytical model of microfluidic transport of non-magnetic particles in ferrofluids under the influence of a permanent magnet,Microfluidics and Nanofluidics,2011,"Taotao Zhu,Darcy J. Lichlyter,Mark A. Haidekker,Leidong Mao"
10.1007/s10404-010-0616-1,Continuous separation of non-magnetic particles inside ferrofluids,Microfluidics and Nanofluidics,2010,"Taotao Zhu,Francisco Marrero,Leidong Mao"
10.1109/NEMS.2010.5592591,Continuous separation of non-magnetic particles through negative magnetophoresis inside ferrofluids.,NEMS,2010,"Taotao Zhu,F. Marrero,Leidong Mao"
10.1073/pnas.0912138106,Label-Free Cellular Manipulation And Sorting Via Biocompatible Ferrofluids,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2009,"Ayse R Kose,Birgit Fischer,Leidong Mao,Hur Koser"
10.1109/NEMS.2008.4484470,Ferro-Microfluidic Device For Pathogen Detection,"2008 3RD IEEE INTERNATIONAL CONFERENCE ON NANO/MICRO ENGINEERED AND MOLECULAR SYSTEMS, VOLS 1-3",2008,"Birgit Fischer,Leidong Mao,Mustafa Gungormus,Candan Tamerler,Mehmet Sarikaya,Hur Koser"
,A Study of Ferrohydrodynamics under Traveling Magnetic Field Excitations,,2008,Leidong Mao
10.1109/SENSOR.2007.4300511,Overcoming the Diffusion Barrier: Ultra-Fast Micro-Scale Mixing Via Ferrofluids,"TRANSDUCERS '07 & EUROSENSORS XXI, DIGEST OF TECHNICAL PAPERS, VOLS 1 AND 2",2007,"leidong mao,hur koser"
10.1088/0957-4484/17/4/007,Towards ferrofluidics for μ-TAS and lab on-a-chip applications.,NANOTECHNOLOGY,2006,"Leidong Mao,Hur Koser"
,"An integrated , high flow rate mems ferrofluid pump",,2005,"Leidong  Mao,Hur  Koser"
10.1016/j.jmmm.2004.11.058,Ferrohydrodynamic pumping in spatially traveling sinusoidally time-varying magnetic fields,Journal of Magnetism and Magnetic Materials,2005,"Leidong Mao,Hur Koser"
,A Microfluidic Assay Design for Real-Time Bacterial Chemotaxis Studies,,2005,"hur koser,tolga kaya,leidong mao"
