doi,标题,期刊,年份,作者
10.1371/journal.pone.0154125,A High-Throughput Cell-Based Screen Identified A 2-[(E)-2-Phenylvinyl]-8-Quinolinol Core Structure That Activates P53,PLOS ONE,2016,"John Bechill,Rong Zhong,Chen Zhang,Elena Solomaha,Michael T Spiotto"
10.1210/en.2007-0148,A Functional Serine 118 Phosphorylation Site in Estrogen Receptor-  Is Required for Down-Regulation of Gene Expression by 17 -Estradiol and 4-Hydroxytamoxifen,ENDOCRINOLOGY,2007,"Jingwei Cheng,Chen Zhang,David J. Shapiro"
