doi,标题,期刊,年份,作者
10.1002/chin.201405146,"ChemInform Abstract: Conjugate Addition Reactions of N‐Carbamoyl‐4‐pyridones and 2,3‐Dihydropyridones with Grignard Reagents in the Absence of Cu(I) Salts.",Cheminform,2014,"fenghai guo,ramesh c dhakal,r karl dieter"
,"Orgn 221-Regio- And Stereoselectivity In The Reactions Of Organometallic Reagents With Gamma, Delta-Heteroatom Substitued Alpha, Beta-Enoates",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2008,"Fenghai Guo,R. Karl Dieter"
,Ched 235-Organocuprate-Mediated Bis-Allylic Substitution Reactions,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2008,"R. Karl Dieter,Fenghai Guo,Phillip Holstein"
,"Orgn 31-Synthesis Of Gamma-Lactones From Gamma, Delta-Heteroatom Substituted Alpha, Beta-Enoates",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2008,"Fenghai Guo,R. Karl Dieter"
,Toward The Synthesis Of Enantioenriched And Highly Substituted Delta-Lactones,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2007,"James D. Blakemore,Fenghai Guo,Yaxin Huang,R. Karl Dieter"
