doi,标题,期刊,年份,作者
10.1016/j.epsl.2019.115974,Elastic and magnetic properties of Fe3P up to core pressures: Phosphorus in the Earth's core,Earth and Planetary Science Letters,2020,"Xiaojing Lai,Feng Zhu,Yingxin Liu,Wenli Bi,Jiyong Zhao,E. Ercan Alp,Michael Y. Hu,Dongzhou Zhang,Sergey Tkachev,Murli H. Manghnani,Vitali B. Prakapenka,Bin Chen"
10.1029/2020jb019964,"Synthesis, Elasticity, and Spin State of an Intermediate MgSiO
            <sub>3</sub>
            ‐FeAlO
            <sub>3</sub>
            Bridgmanite: Implications for Iron in Earth's Lower Mantle",Journal of Geophysical Research: Solid Earth,2020,"Feng Zhu,Jiachao Liu,Xiaojing Lai,Yuming Xiao,Vitali Prakapenka,Wenli Bi,E. Ercan Alp,Przemyslaw Dera,Bin Chen,Jie Li"
10.1029/2020JB019964,"Synthesis, Elasticity, and Spin State of an Intermediate MgSiO3-FeAlO3 Bridgmanite: Implications for Iron in Earth's Lower Mantle",JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2020,"Feng Zhu,Jiachao Liu,Xiaojing Lai,Yuming Xiao,Vitali Prakapenka,Wenli Bi,E. Ercan Alp,Przemyslaw Dera,Bin Chen,Jie Li"
10.3791/61389,An Externally-Heated Diamond Anvil Cell for Synthesis and Single-Crystal Elasticity Determination of Ice-VII at High Pressure-Temperature Conditions.,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,2020,"Xiaojing Lai,Feng Zhu,Jin S. Zhang,Dongzhou Zhang,Sergey Tkachev,Vitali B. Prakapenka,Bin Chen"
10.1063/1.5096989,The Extreme Acoustic Anisotropy And Fast Sound Velocities Of Cubic High-Pressure Ice Polymorphs At Mbar Pressure,APPLIED PHYSICS LETTERS,2019,"Jin S. Zhang,M. Hao,Z. Ren,B. Chen"
10.1029/2018GL080740,Kinetic Control on the Depth Distribution of Superdeep Diamonds,GEOPHYSICAL RESEARCH LETTERS,2019,"Feng Zhu,Jie Li,Jiachao Liu,Xiaojing Lai,Bin Chen,Yue Meng"
10.7185/geochemlet.1914,Carbon isotopic signatures of super-deep diamonds mediated by iron redox chemistry,GEOCHEMICAL PERSPECTIVES LETTERS,2019,"J. Liu,W. Wang,H. Yang,Z. Wu,M. Y. Hu,J. Zhao,W. Bi,E. E. Alp,N. Dauphas,W. Liang,B. Chen,J-F Lin"
10.1155/2018/1452409,"Fluids, Metals, and Mineral/Ore Deposits",GEOFLUIDS,2018,"Xing Ding,Daniel E. Harlov,Bin Chen,Weidong Sun"
10.1016/j.epsl.2018.05.002,Experimental constraints on the sound velocities of cementite Fe 3 C to core pressures,Earth and Planetary Science Letters,2018,"Bin Chen,Xiaojing Lai,Jie Li,Jiachao Liu,Jiyong Zhao,Wenli Bi,E. Ercan Alp,Michael Y. Hu,Yuming Xiao"
10.2138/am-2018-6527,"The high-pressure anisotropic thermoelastic properties of a potential inner core carbon-bearing phase, Fe7C3, by single-crystal X-ray diffraction",AMERICAN MINERALOGIST,2018,"Xiaojing Lai,Feng Zhu,Jiachao Liu,Dongzhou Zhang,Yi Hu,Gregory J. Finkelstein,Przemyslaw Dera,Bin Chen"
10.1007/s12517-018-3791-0,"Early Precambrian tectono-thermal events: coupled U–Pb–Hf of detrital zircons from Jiao–Liao–Ji Belt, North China Craton",Arabian Journal of Geosciences,2018,"Zhuang Li,Jie Li,Bin Chen"
10.1016/j.carbon.2017.09.010,Quasi 3D polymerization in C60 bilayers in a fullerene solvate,Carbon,2017,"Cuiying Pei,Meina Feng,Zhenxing Yang,Mingguang Yao,Ye Yuan,Xin Li,Bingwen Hu,Ming Shen,Bin Chen,Bertil Sundqvist,Lin Wang"
10.1130/abs/2017cd-292899,Ultradeep diamond genesis at redox conditions of slab-mantle boundary,Geological Society of America Abstracts with Programs,2017,"Jing Gao,Bin Chen,Xiang Wu"
10.1002/2017JB014835,Polyamorphic Transformations in Fe-Ni-C Liquids: Implications for Chemical Evolution of Terrestrial Planets: Fe-Ni-C liquid structural change,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2017,"Xiaojing Lai,Bin Chen,Jianwei Wang,Yoshio Kono,Feng Zhu"
10.1073/pnas.1411154111,Hidden Carbon In Earth'S Inner Core Revealed By Shear Softening In Dense Fe7c3,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2014,"Chen Bin,Li Zeyu,Zhang Dongzhou,Liu Jiachao,Hu Michael Y,Zhao Jiyong,Bi Wenli,Alp E Ercan,Xiao Yuming,Chow Paul,Li Jie"
10.1002/jgrb.50303,Elasticity and lattice dynamics of enstatite at high pressure,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2013,"dongzhou zhang,jennifer m jackson,bin chen,wolfgang sturhahn,jiyong zhao,jinyuan yan,razvan caracas"
,Elasticity and lattice dynamics of enstatite at high pressure: ELASTICITY AND LATTICE DYNAMICS OF EN87,Journal of Geophysical Research,2013,"bin chen,jennifer m jackson,razvan caracas,jinyuan yan,jiyong zhao,wolfgang sturhahn,dongzhou zhang"
10.3969/j.issn.1671-6833.2013.06.021,Analysis of Continuous Rigid Frame Bridge Jacking Force Calculation and Optimization,Journal of Zhengzhou University(Engineering Science),2013,"Jie LI,Bin CHEN"
10.1029/2012gl052875,Magneto-elastic coupling in compressed Fe 7 C 3 supports carbon in Earth's inner core: MAGNETO-ELASTIC COUPLING IN Fe 7 C 3,Geophysical Research Letters,2012,"przemyslaw dera,esen e alp,jiyong zhao,barbara lavina,lili gao,bin chen,jie li"
10.1029/2012JB009162,Spin crossover equation of state and sound velocities of (Mg0.65Fe0.35)O ferropericlase to 140 GPa,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2012,"bin chen,jennifer m jackson,wolfgang sturhahn,dongzhou zhang,jiyong zhao,j k wicks,caitlin a murphy"
10.1029/2012jb009162,"Spin crossover equation of state and sound velocities of (Mg0.65Fe0.35)O ferropericlase to 140 GPa: EOS AND SOUND VELOCITIES OF (MG,FE)O",Journal of Geophysical Research,2012,"Bin Chen,Jennifer M. Jackson,Wolfgang Sturhahn,Dongzhou Zhang,Jiyong Zhao,June K. Wicks,Caitlin A. Murphy"
10.1029/2012GL052875,Magneto‐elastic coupling in compressed Fe7C3 supports carbon in Earth's inner core,Geophysical Research Letters,2012,"bin chen,lili gao,barbara lavina,przemyslaw dera,esen e alp,jiyong zhao,jie li"
,Grüneisen parameter of hcp‐Fe to 171 GPa,Geophysical Research Letters,2011,"caitlin a murphy,jennifer m jackson,wolfgang sturhahn,bin chen"
10.1016/j.pepi.2011.07.001,Melting and thermal pressure of hcp-Fe from the phonon density of states,Physics of the Earth and Planetary Interiors,2011,"caitlin a murphy,jennifer m jackson,w sturhahn,bin chen"
10.1029/2011GL049531,Gruneisen parameter of hcp-Fe to 171 GPa,GEOPHYSICAL RESEARCH LETTERS,2011,"Caitlin A. Murphy,Jennifer M. Jackson,Wolfgang Sturhahn,Bin Chen"
,Grüneisen parameter of hcp-Fe to 171 GPa: GRÜNEISEN PARAMETER OF Fe,Geophysical Research Letters,2011,"bin chen,wolfgang sturhahn,jennifer m jackson,caitlin a murphy"
10.1016/j.epsl.2011.06.037,"Effect of temperature on sound velocities of compressed Fe 3 C, a candidate component of the Earth's inner core",Earth and Planetary Science Letters,2011,"lili gao,bin chen,jiyong zhao,esen e alp,wolfgang sturhahn,jie li"
,"Pressure-tuning of the thermal conductivity of a layered crystal, muscovite",,2010,"Wen-Pin Hsieh,Bin Chen,Jie Li,Pawel Keblinski,David G. Cahill"
