doi,标题,期刊,年份,作者
10.1103/PhysRevLett.107.206805,Tailored Nanoheterojunctions For Optimized Light Emission,PHYSICAL REVIEW LETTERS,2011,"Tianshu Li,Francois Gygi,Giulia Galli"
,First-principles investigation of band offsets and dielectric properties of Silicon-Silicon Nitride interfaces,Bulletin of the American Physical Society,2011,"tuan anh pham,tianshu li,francois gygi,giulia galli"
10.1039/c1cp22167a,Homogeneous Ice Nucleation From Supercooled Water,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2011,"Tianshu Li,Davide Donadio,Giovanna Russo,Giulia Galli"
,First principle investigations of the dielectric properties of Si3N4 thin films,Bulletin of the American Physical Society,2010,"tuan anh pham,tianshu li,sadasivan shankar,francois gygi,giulia galli"
10.1063/1.3303987,First-Principles Investigations Of The Dielectric Properties Of Crystalline And Amorphous Si3n4 Thin Films,APPLIED PHYSICS LETTERS,2010,"t anh pham,tianshu li,sadasivan shankar,francois gygi,giulia galli"
,Nucleationand surface induced crystallization in supercooled liquid water,Bulletin of the American Physical Society,2010,"giovanna russo,tianshu li,davide donadio,giulia galli"
10.1038/NMAT2508,Surface-induced crystallization in supercooled tetrahedral liquids.,NATURE MATERIALS,2009,"Tianshu Li,Davide Donadio,Luca M Ghiringhelli,Giulia Galli"
10.1063/1.3268346,Nucleation Of Tetrahedral Solids: A Molecular Dynamics Study Of Supercooled Liquid Silicon,JOURNAL OF CHEMICAL PHYSICS,2009,"Tianshu Li,Davide Donadio,Giulia Galli"
10.1103/PhysRevLett.98.105503,"""Ideal"" Engineering Alloys",PHYSICAL REVIEW LETTERS,2007,"Tianshu Li,J W Morris,naoyuki nagasako,shunichi kuramoto,D C Chrzan"
10.1021/jp075424v,Electronic Properties of MoS2 Nanoparticles,JOURNAL OF PHYSICAL CHEMISTRY C,2007,"T. Li,G. Galli"
10.1021/jp075424v,Electronic Properties of MoS<sub>2</sub> Nanoparticles,The Journal of Physical Chemistry C,2007,"Tianshu Li,Giulia Galli"
10.1103/physrevb.70.054107,"Ideal tensile strength of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>B</mml:mi><mml:mn>2</mml:mn></mml:mrow></mml:math>transition-metal aluminides",Physical Review B,2004,"Tianshu Li,J. W. Morris,D. C. Chrzan"
