doi,标题,期刊,年份,作者
10.1103/PhysRevB.105.L081408,Strain-tuning of domain walls in multilayer graphene probed in the quantum Hall regime,PHYSICAL REVIEW B,2022,"Paul Anderson,Yifan Huang,Yuanjun Fan,Sara Qubbaj,Sinisa Coh,Qin Zhou,Claudia Ojeda-Aristizabal"
10.14722/ndss.2020.24068,SurfingAttack: Interactive Hidden Attack on Voice Assistants Using Ultrasonic Guided Waves,NDSS,2020,"Qiben Yan,Kehai Liu,Qin Zhou,Hanqing Guo,Ning Zhang"
10.1109/JMEMS.2010.2100035,Enhancing Mass Transport for Synthesizing Single-Walled Carbon Nanotubes via Micro Chemical Vapor Deposition,Journal of Microelectromechanical Systems,2011,"qin zhou,liwei lin"
10.1117/1.2167968,Principle and simulation of microresonating cantilever sensor based on third harmonic detection,JOURNAL OF MICROLITHOGRAPHY MICROFABRICATION AND MICROSYSTEMS,2006,"Qin Zhou,Ying Dong,Zhe Dong,Zheng You"
