doi,标题,期刊,年份,作者
,Finite Horizon Distributed Optimal Tracking Control Of Multi-Agent Systems In Presence Of Completely Unknown Dynamics,"2015 IEEE INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION, CONTROL, AND INTELLIGENT SYSTEMS (CYBER)",2015,"hao xu,wenxin liu"
10.1109/TII.2015.2475703,Fully Distributed Social Welfare Optimization with Line Flow Constraint Consideration,IEEE Transactions on Industrial Informatics,2015,"Ma, Y.,Zhang, W.,wenxin liu,qinmin yang"
,Application Of Generalized Predictive Control For Charging Super Capacitors In Microgrid Power Systems Under Input Constraints,"2015 IEEE INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION, CONTROL, AND INTELLIGENT SYSTEMS (CYBER)",2015,"yusheng luo,cheng wang,liang tan,genyu liao,mingen zhou,david a cartes,wenxin liu"
10.1109/TPWRS.2013.2281038,Distributed Subgradient-Based Coordination of Multiple Renewable Generators in a Microgrid,"Power Systems, IEEE Transactions  ",2014,"Yinliang Xu,Wei Zhang,Wenxin Liu,Xin Wang,Frank T. Ferrese,Chuanzhi Zang,Haibin Yu"
10.1109/TSG.2014.2327478,Distributed Multiple Agent System Based Online Optimal Reactive Power Control for Smart Grids,IEEE Trans. Smart Grid,2014,"Wei Zhang,Wenxin Liu,Xin Wang,Liming Liu,Frank T. Ferrese"
10.1109/TSG.2012.2234149,Fully Distributed Coordination of Multiple DFIGs in a Microgrid for Load Sharing,IEEE Trans. Smart Grid,2013,"Wei Zhang,Yinliang Xu,Wenxin Liu,Frank T. Ferrese,Liming Liu"
10.1016/j.simpat.2012.04.007,Modeling and detecting the stator winding fault of permanent magnet synchronous motors.,Simulation Modelling Practice and Theory,2012,"Wenxin Liu,Li Liu,Il-Yop Chung,David A. Cartes,Wei Zhang"
10.1080/00207543.2010.518733,Simulation-Based Performance Comparison Between Assembly Lines And Assembly Cells With Real-Time Distributed Arrival Time Control System,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2011,"Jun Gong,Vittaldas V. Prabhu,Wenxin Liu"
10.1016/j.epsr.2010.12.010,Integration of a bi-directional DC–DC converter model into a real-time system simulation of a shipboard medium voltage DC system,Electric Power Systems Research,2011,"Il-Yop Chung,Wenxin Liu,Karl Schoder,David A. Cartes"
10.1109/TPWRS.2011.2120631,Stable Multi-Agent-Based Load Shedding Algorithm for Power Systems,"Power Systems, IEEE Transactions",2011,"Yinliang Xu,Wenxin Liu,Jun Gong"
10.1109/PES.2011.6039899,Intelligent methods for smart microgrids,"San Diego, CA",2011,"joydeep mitra,niannian cai,moyuen chow,sukumar kamalasadan,wenxin liu,wei qiao,s n singh,a k srivastava,s k srivastava,ganesh k venayagamoorthy,ziang zhang"
10.1016/j.engappai.2010.08.004,Real-time particle swarm optimization based current harmonic cancellation,Engineering Applications of Artificial Intelligence,2011,"Wenxin Liu,Il-Yop Chung,Li Liu,Siyu Leng,David A. Cartes"
10.1016/j.asoc.2010.08.022,Real-time particle swarm optimization based parameter identification applied to permanent magnet synchronous machine,Appl. Soft Comput.,2011,"Wenxin Liu,Li Liu,Il-Yop Chung,David A. Cartes"
10.1109/TSG.2010.2099675,Novel Multiagent Based Load Restoration Algorithm for Microgrids,IEEE Trans. Smart Grid,2011,"Yinliang Xu,Wenxin Liu"
10.1109/TIA.2010.2044970,Control Methods of Inverter-Interfaced Distributed Generators in a Microgrid System,"Industry Applications, IEEE Transactions",2010,"Il-Yop Chung,Wenxin Liu,David A. Cartes,Emmanuel G. Collins,Seung-Il Moon"
10.1109/IJCNN.2009.5178867,"Design, modeling, and position control of a single-phase reluctance machine",IJCNN,2009,"Siyu Leng,Wenxin Liu,II-Yop Chung,David Cartes,Chris S. Edrington"
10.1109/CEC.2008.4631268,Real Time Implementation Of Particle Swarm Optimization Based Model Parameter Identification And An Application Example,"2008 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-8",2008,"Li Liu,Wenxin Liu,David A. Cartes,Nian Zhang"
10.1016/j.engappai.2007.10.002,Particle swarm optimization-based parameter identification applied to permanent magnet synchronous motors,Eng. Appl. of AI,2008,"Li Liu,Wenxin Liu,David A. Cartes"
10.5019/j.ijcir.2008.139,Permanent Magnet Synchronous Motor Parameter Identification using Particle Swarm Optimization,International Journal of Computational Intelligence Research,2008,"Li Liu,Pramesh Chand,Richard Chbeir,Lisa Mathew,K. S. Easwarakumar,Sunaina Premkumar,Uma Lakshmanan,Suprema Raj,Susan Elias,S. J. Ovaska,X. Z. Gao,X. Wang,Wenxin Liu,David A. Cartes,Ly Fie Sugianto"
10.1109/IJCNN.2008.4634285,Neural network based controller design for three-phase PWM AC/DC voltage source converters,IJCNN,2008,"Wenxin Liu,Li Liu,David A. Cartes,Xin Wang"
10.5019/j.ijcir.2008.131,Angle Modulated Particle Swarm Optimization Based Defensive Islanding Of Large Scale Power Systems,"2007 IEEE POWER ENGINEERING SOCIETY CONFERENCE AND EXPOSITION IN AFRICA, VOLS 1 AND 2",2007,"Wenxin Liu,Li Liu,David A. Cartes"
,Angle modulated differential evolution and slow coherency based islanding of large scale power systems,CI '07 Proceedings of the Third IASTED International Conference on Computational Intelligence,2007,"Wenxin Liu,Li Liu,David A. Cartes"
,Decentralized Neural Network-Based Excitation Control Of Large-Scale Power Systems,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2007,"Wenxin Liu,Jagannathan Sarangapani,Ganesh K. Venayagamoorthy,Li Liu,Donald C. Wunsch,Mariesa L. Crow,David A. Cartes"
,Binary Particle Swarm Optimization Based Defensive Islanding Of Large Scale Power Systems,IJCSA,2007,"Wenxin Liu,Li Liu,David A. Cartes,Ganesh K. Venayagamoorthy"
10.1109/CCA.2007.4389351,Comparisons Of An Adaptive Neural Network Based Controller And An Optimized Conventional Power System Stabilizer,"PROCEEDINGS OF THE 2007 IEEE CONFERENCE ON CONTROL APPLICATIONS, VOLS 1-3",2007,"Wenxin Liu,Ganesh K. Venayagamoorthy,Sarangapani Jagannathan,Donald C. Wunsch,Mariesa L. Crow,Li Liu,David A. Cartes"
