doi,标题,期刊,年份,作者
10.1103/PhysRevLett.125.117202,Emergent Fermi surface in a triangular-lattice SU(4) quantum  antiferromagnet,PHYSICAL REVIEW LETTERS,2020,"Keselman Anna,Bauer Bela,Xu Cenke,Jian Chao-Ming"
,Continuous N\'{e}el-VBS Quantum Phase Transition in Non-Local  one-dimensional systems with SO(3) Symmetry,,2020,"Jian Chao-Ming,Xu Yichen,Wu Xiao-Chuan,Xu Cenke"
10.1103/PhysRevB.101.174406,Boundary Criticality Of Topological Quantum Phase Transitions In Two-Dimensional Systems,PHYSICAL REVIEW B,2020,"Xiao-Chuan Wu,Yichen Xu,Hao Geng,Chao-Ming Jian,Cenke Xu"
,Interacting Valley Chern Insulator in Moiré Systems,Bulletin of the American Physical Society,2020,"Xiaochuan Wu,Yichen Xu,Chao-Ming Jian,Cenke Xu"
10.1103/PhysRevB.101.184419,Topological Edge And Interface States At Bulk Disorder-To-Order Quantum Critical Points,PHYSICAL REVIEW B,2020,"Xu Yichen,Wu Xiao-Chuan,Jian Chao-Ming,Xu Cenke"
10.1103/PhysRevB.100.155138,Interacting Valley Chern Insulator And Its Topological Imprint On Moire Superconductors,PHYSICAL REVIEW B,2019,"Xiao-Chuan Wu,Yichen Xu,Chao-Ming Jian,Cenke Xu"
,"A candidate Theory for the ""Strange Metal"" phase based on the Sachdev-Ye-Kitaev physics",Bulletin of the American Physical Society,2019,"Xiaochuan Wu,Xiao Chen,Chao-Ming Jian,Yizhuang You,Cenke Xu"
10.1103/PhysRevB.100.024421,Ferromagnetism And Spin-Valley Liquid States In Moire Correlated Insulators,PHYSICAL REVIEW B,2019,"Xiao-Chuan Wu,Anna Keselman,Chao-Ming Jian,Kelly Ann Pawlak,Cenke Xu"
10.1103/PhysRevX.9.021022,Monte Carlo Study of Lattice Compact Quantum Electrodynamics with Fermionic Matter: The Parent State of Quantum Phases,PHYSICAL REVIEW X,2019,"Xiao Yan Xu,Yang Qi,Long Zhang,Fakher F. Assaad,Cenke Xu,Zi Yang Meng"
,Field-induced transition to semion topological order from the square-lattice N'eel state,arXiv: Strongly Correlated Electrons,2019,"Shubhayu Chatterjee,Haoyu Guo,Subir Sachdev,Rhine Samajdar,Mathias S. Scheurer,Nathan Seiberg,Cenke Xu"
,Field-induced transition to semion topological order from the  square-lattice N\'eel state,,2019,"Chatterjee Shubhayu,Guo Haoyu,Sachdev Subir,Samajdar Rhine,Scheurer Mathias S.,Seiberg Nathan,Xu Cenke"
10.1038/s41567-019-0669-3,Enhanced thermal Hall effect in the square-lattice Néel state,NATURE PHYSICS,2019,"Rhine Samajdar,Mathias S. Scheurer,Shubhayu Chatterjee,Haoyu Guo,Cenke Xu,Subir Sachdev"
10.1103/PhysRevX.8.041030,Interacting Topological Insulators with Synthetic Dimensions,PHYSICAL REVIEW X,2019,"Chao-Ming Jian,Cenke Xu"
10.1103/PhysRevB.100.075101,Lattice Models For Non-Fermi Liquids With Tunable Transport Scalings,PHYSICAL REVIEW B,2019,"Xiao-Chuan Wu,Chao-Ming Jian,Cenke Xu"
10.1038/s41534-019-0166-7,Quantum Simulation Of The Non-Fermi-Liquid State Of Sachdev-Ye-Kitaev Model,NPJ QUANTUM INFORMATION,2019,"Zhihuang Luo,Yi-Zhuang You,Jun Li,Chao-Ming Jian,Dawei Lu,Cenke Xu,Bei Zeng,Raymond Laflamme"
10.1103/PhysRevB.99.161405,Coupled-Wire Description Of The Correlated Physics In Twisted Bilayer Graphene,PHYSICAL REVIEW B,2019,"Xiao-Chuan Wu,Chao-Ming Jian,Cenke Xu"
,Topological Superconductivity on Moire Superlattices,Bulletin of the American Physical Society,2019,"Cenke Xu,Leon Balents,Chao-Ming Jian"
,Non-Landau Quantum Phase Transitions and nearly-Marginal Fermi Liquid,,2019,"Xu Yichen,Geng Hao,Wu Xiao-Chuan,Jian Chao-Ming,Xu Cenke"
