doi,标题,期刊,年份,作者
10.1002/ange.201913488,Berichtigung: Molecularly Mixed Composite Membranes for Advanced Separation Processes,Angewandte Chemie,2019,"Guanghui Zhu,Fengyi Zhang,Matthew P. Rivera,Xunxiang Hu,Guoyan Zhang,Christopher W. Jones,Ryan P. Lively"
10.1002/anie.201811341,Molecularly-mixed composite membranes for advanced separation processes.,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2019,"Guanghui Zhu,Fengyi Zhang,Matthew P Rivera,Xunxiang Hu,Guoyan Zhang,Christopher W Jones,Ryan P Lively"
10.1002/anie.201913488,Corrigendum: Molecularly Mixed Composite Membranes for Advanced Separation Processes.,Angewandte Chemie (International ed. in English),2019,"Guanghui Zhu,Fengyi Zhang,Matthew P. Rivera,Xunxiang Hu,Guoyan Zhang,Christopher W. Jones,Ryan P. Lively"
10.1002/anie.201708843,Electrostatic-Assisted Liquefaction of Porous Carbons.,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2017,"Peipei Li,Jennifer A. Schott,Jinshui Zhang,Shannon M. Mahurin,Yujie Sheng,Zhen-An Qiao,Xunxiang Hu,Guokai Cui,Dongdong Yao,Suree Brown,Yaping Zheng,Sheng Dai"
