doi,标题,期刊,年份,作者
10.1016/j.neuroimage.2015.10.078,Visualization of perivascular spaces in the human brain at 7 T: sequence optimization and morphology characterization.,NeuroImage,2016,"Xiaopeng Zong,Sang Hyun Park,Dinggang Shen,Weili Lin"
10.1016/j.neuroimage.2011.04.067,Linear coupling of undershoot with BOLD response in ER-fMRI and nonlinear BOLD response in rapid-presentation ER-fMRI.,NeuroImage,2011,"Xiaopeng Zong,Jie Huang"
10.1103/PhysRevB.76.144511,B-11 Nmr In The Layered Diborides Osb2 And Rub2,PHYSICAL REVIEW B,2007,"B. Suh,X. Zong,Y. Singh,A. Niazi,D. Johnston"
10.1103/PhysRevB.75.064414,Proton Nmr Study In Hexanuclear Manganese Single-Molecule Magnets,PHYSICAL REVIEW B,2007,"M. Belesi,X. Zong,F. Borsa,C. J. Milios,S. P. Perlepes"
