doi,标题,期刊,年份,作者
10.1038/s41565-022-01191-4,Quantum simulator comes in pairs,NATURE NANOTECHNOLOGY,2022,"Dongyang Yang,Ziliang Ye"
10.1038/s41565-022-01191-4,Quantum simulator comes in pairs,Nature Nanotechnology,2022,"Yang, Dongyang,Ye, Ziliang"
10.1038/s41566-022-01008-9,Spontaneous-polarization-induced photovoltaic effect in rhombohedrally stacked MoS2,NATURE PHOTONICS,2022,"Dongyang Yang,Jingda Wu,Benjamin T. Zhou,Jing Liang,Toshiya Ideue,Teri Siu,Kashif Masud Awan,Kenji Watanabe,Takashi Taniguchi,Yoshihiro Iwasa,Marcel Franz,Ziliang Ye"
10.1126/sciadv.ade3759,"Ultrafast response of spontaneous photovoltaic effect in 3R-MoS2-based
  heterostructures",,2022,"Jingda Wu,Dongyang Yang,Jing Liang,Max Werner,Evgeny Ostroumov,Yunhuan Xiao,Kenji Watanabe,Takashi Taniguchi,Jerry I. Dadap,David Jones,Ziliang Ye"
10.1103/PhysRevX.12.041005,Optically Probing the Asymmetric Interlayer Coupling in Rhombohedral-Stacked MoS2 Bilayer,PHYSICAL REVIEW X,2022,"Jing Liang,Dongyang Yang,Jingda Wu,Jerry I Dadap,Kenji Watanabe,Takashi Taniguchi,Ziliang Ye"
10.1126/science.aaz9146,A Van Der Waals Interface That Creates In-Plane Polarization And A Spontaneous Photovoltaic Effect,SCIENCE,2021,"Takatoshi Akamatsu,Toshiya Ideue,Ling Zhou,Yu Dong,Sota Kitamura,Mao Yoshii,Dongyang Yang,Masaru Onga,Yuji Nakagawa,Kenji Watanabe,Takashi Taniguchi,Joseph Laurienzo,Junwei Huang,Ziliang Ye,Takahiro Morimoto,Hongtao Yuan,Yoshihiro Iwasa"
10.1126/science.abf0371,Semiconductor Physics Probing The Dark Side Of The Exciton,SCIENCE,2020,"Meng Xing Na,Ziliang Ye"
