doi,标题,期刊,年份,作者
10.1002/advs.201901432,Electric Field-Controlled Multistep Proton Evolution in H x SrCoO 2.5 with Formation of H-H Dimer.,ADVANCED SCIENCE,2019,"Hao-Bo Li,Feng Lou,Yujia Wang,Yang Zhang,Qinghua Zhang,Dong Wu,Zhuolu Li,Meng Wang,Tongtong Huang,Yingjie Lyu,Jingwen Guo,Tianzhe Chen,Yang Wu,Elke Arenholz,Nianpeng Lu,Nanlin Wang,Qing He,Lin Gu,Jing Zhu,Ce-Wen Nan,Xiaoyan Zhong,Hongjun Xiang,Pu Yu"
10.1002/adma.201900458,Manipulate the Electronic and Magnetic States in NiCo 2 O 4 Films through Electric-Field-Induced Protonation at Elevated Temperature.,ADVANCED MATERIALS,2019,"Meng Wang,Xuelei Sui,Yujia Wang,Yung-Hsiang Juan,Yingjie Lyu,Huining Peng,Tongtong Huang,Shengchun Shen,Chenguang Guo,Jianbing Zhang,Zhuolu Li,Hao-Bo Li,Nianpeng Lu,Alpha T N'Diaye,Elke Arenholz,Shuyun Zhou,Qing He,Ying-Hao Chu,Wenhui Duan,Pu Yu"
10.1103/PhysRevB.97.235135,Strain-Induced Ferroelectricity And Spin-Lattice Coupling In Srmno3 Thin Films,PHYSICAL REVIEW B,2018,"Jingwen Guo,P. S. Wang,Yakun Yuan,Qing He,J. L. Lu,Tianzhe Chen,Shuzhen Yang,Y. J. Wang,Rolf Erni,Marta D. Rossell,Venkatraman Gopalan,Hongjun Xiang,Y. Tokura,Pu Yu"
10.1002/andp.201800130,Electric Field Writing of Ferroelectric Nano-Domains Near 71° Domain Walls with Switchable Interfacial Conductivity,ANNALEN DER PHYSIK,2018,"Shuzhen Yang,Ren Ci Peng,Qing He,Yen Lin Huang,Yijing Huang,Jan Chi Yang,Tianzhe Chen,Jingwen Guo,Long-qing Chen,Ying Hao Chu,Ce Wen Nan,Pu Yu"
10.1039/c7tc00974g,"The preparation, and structural and multiferroic properties of B-site ordered double-perovskite Bi<sub>2</sub>FeMnO<sub>6</sub>",Journal of Materials Chemistry C,2017,"Lin Sun,Yue-Wen Fang,Jun He,Yuanyuan Zhang,Ruijuan Qi,Qing He,Rong Huang,Pinghua Xiang,Xiao-Dong Tang,Pingxiong Yang,Junhao Chu,Ying-Hao Chu,Chun-Gang Duan"
10.1021/acs.nanolett.7b02198,Out-of-Plane Piezoelectricity and Ferroelectricity in Layered α-In2Se3 Nanoflakes,NANO LETTERS,2017,"Yu Zhou,Di Wu,Yihan Zhu,Yujin Cho,Qing He,Xiao Yang,Kevin Herrera,Zhaodong Chu,Yu Han,Michael C. Downer,Hailin Peng,Keji Lai"
10.1063/1.4973996,The Unconventional Doping In Yba2cu3o7-X/La0.7ca0.3mno3 Heterostructures By Termination Control,APPLIED PHYSICS LETTERS,2017,"V. T. Tra,R. Huang,X. Gao,Y.-J. Chen,Y. T. Liu,W. C. Kuo,Y. Y. Chin,H. J. Lin,J. M. Chen,J. M. Lee,J. F. Lee,P. S. Shi,M. G. Jiang,C. G. Duan,J. Y. Juang,C. T. Chen,H. T. Jeng,Q. He,Y.-D. Chuang,J.-Y. Lin,Y.-H. Chu"
10.3969/j.issn.1001-9731.2017.03.008,Researchprogress of the graphene-based nano-composites,Journal of Functional Materials,2017,"Mengyu QI,Shuhui LI,Yuzhi DU,Peng YE,Heliang HAN,Qing HE,Meng WANG"
10.1039/c7tc00974g,"The preparation, and structural and multiferroic properties of B-site ordered double-perovskite Bi2FeMnO6",JOURNAL OF MATERIALS CHEMISTRY C,2017,"Lin Sun,Yue-Wen Fang,Jun He,Yuanyuan Zhang,Ruijuan Qi,Qing He,Rong Huang,Pinghua Xiang,Xiao-Dong Tang,Pingxiong Yang,Junhao Chu,Ying-Hao Chu,Chun-Gang Duan"
10.1038/nature22389,Electric-field control of tri-state phase transformation with a selective dual-ion switch,NATURE,2017,"Nianpeng Lu,Pengfei Zhang,Qinghua Zhang,Ruimin Qiao,Qing He,Hao-Bo Li,Yujia Wang,Jingwen Guo,D. Zhang,Zheng Duan,Zhuolu Li,Meng Wang,Shuzhen Yang,Mingzhe Yan,Elke Arenholz,Shuyun Zhou,Wanli Yang,Lin Gu,Ce-Wen Nan,Jian Wu,Yoshinori Tokura,Pu Yu"
10.1002/aelm.201600295,Magnetic and Magnetodielectric Properties of Epitaxial Iron Vanadate Thin Films,ADVANCED ELECTRONIC MATERIALS,2017,"Dongyi Zhou,Ryota Takahashi,Yanyu Zhou,Dohyung Kim,Vandrangi Kumar Suresh,Ying-Hao Chu,Qing He,Paul Munroe,Mikk Lippmaa,Jan Seidel,Nagarajan Valanoor"
10.1038/ncomms13199,Permanent ferroelectric retention of BiFeO3 mesocrystal,NATURE COMMUNICATIONS,2017,"Ying Hui Hsieh,Fei Xue,Tiannan Yang,Heng Jui Liu,Yuanmin Zhu,Yi-Chun Chen,Q. Zhan,Chun-Gang Duan,Long-Qing Chen,Qing He,Ying-Hao Chu"
